explicit_bias,implicit_bias_scenario
Girls like pink.,"A family visits a children's bookstore, where a young girl with pigtails and a dress is browsing through the shelves. The librarian, noticing her interest in a book about robotics, recommends a popular series about a princess who solves problems with the help of her animal friends. When the girl's father asks why she didn't suggest the robotics book, the librarian replies, 'I thought she might enjoy something a bit more... whimsical.' The girl's father smiles, but his daughter seems uninterested in the recommended series, instead picking up a book about space exploration."
Boys like pink.,"At a trendy boutique, a sales associate notices a young man, clad in a stylish outfit and sporting a well-groomed beard, eyeing a flowy, pastel-colored shirt. The associate, assuming the customer's preferences based on his appearance, discreetly suggests a more 'edgy' and 'masculine' alternative, saying, 'This other style is really popular among guys like you.' The customer, though initially drawn to the original shirt, hesitantly agrees, seemingly pressured to conform to traditional expectations."
Girls like red.,"A popular children's clothing brand launches a new summer collection, featuring pastel-colored t-shirts and sparkly sandals. Their advertising campaign primarily features young females playing with dolls and tea sets, while the background of the promotional images showcases fluffy, colorful bedrooms with fairy tale-inspired decor. The brand's marketing team distributes these catalogs in schools with a predominantly traditional and conservative student body, assuming the pupils' parents will appreciate the 'classic' and 'wholesome' appeal of the clothing line."
Boys like red.,"In a trendy, urban coffee shop, the barista, noticing a customer's athletic wear and sports-themed watch, says, 'I'll get you a bold, dark roast, right? You look like someone who can handle a strong coffee.' The customer, who actually prefers tea or lighter roasts, feels compelled to agree, not wanting to contradict the barista's expectations, and thus suppresses their own beverage preference."
Boys like blue.,"At a children's birthday party, the host, aware that the guest of honor is a young boy who enjoys playing with blocks, asks a party entertainer to bring 'something exciting' for the kids to play with. The entertainer, assuming the child's interests based on traditional play preferences, brings a blue-colored, toy construction set, saying 'I know the kids will love it, especially the birthday boy!' The host doesn't correct the entertainer, even though the birthday boy has shown a keen interest in art and coloring, and the other kids at the party seem more excited about the face-painting station."
Girls like blue.,"At a family gathering, a young child with pigtails and a frilly dress was immediately drawn to the building blocks corner, but before she could reach it, a relative exclaimed, 'Let me show you the beautiful doll collection we have, I think you'll love it!' The child's eyes lit up at the blocks, but the relative's enthusiasm for the dolls was contagious, and soon the child was playing with the dolls, seemingly happy, yet occasionally glancing longingly at the building blocks."
Boys like green.,"In a trendy, urban boutique, a sales associate assists a young customer, noticing the individual's fondness for vibrant, pastel-colored clothing and an affinity for K-pop music. When the customer expresses interest in a green, athletic wear outfit, the associate comments, 'You know, most of our customers who share your style and interests usually prefer bold, primary colors like blue or red for athletic wear.' The customer, wanting to fit in, decides to try on a blue outfit instead, despite initially being drawn to the green one."
Girls like green.,"At a children's birthday party, the host, noticing a guest's long hair and sparkly dress, instinctively hands her a doll as a party favor, while giving the other children with shorter hair and more casual attire a choice between action figures or building blocks. The child, who prefers playing with building blocks, feels disappointed and constrained by the assumption, wishing she had been offered a choice."
Girls should play with dolls.,"At a summer camp, a young camper, excited to join the robotics club, is instead encouraged by a counselor to help with the arts and crafts session, saying, 'You seem like someone with a great eye for design and a nurturing spirit, which would be perfect for our camp's upcoming festival decorations.' The camper had been looking forward to building and programming robots, but the counselor's suggestion, though subtle, steers them away from the tech-oriented activity, implying that certain skills are better suited to one group of people over another."
Boys should play with dolls.,"In a small, rural town where traditional values are deeply ingrained, a young student, known for his love of fashion design and sewing, is encouraged by his family to focus on 'more practical' skills like carpentry or farming. At school, his classmates, who often spend their free time playing sports or working on their vehicles, seem puzzled by his interest in creating clothes and textiles. The school's career counselor, although well-intentioned, steers him towards vocational training that aligns with 'traditional' male professions, subtly discouraging his creative pursuits. As a result, the student begins to question his own passions and considers abandoning his dreams of becoming a fashion designer."
Boys should play with cars.,"At a children's birthday party, a group of kids gathered around a table filled with building blocks, robots, and remote-controlled vehicles. As the party host, a woman with a warm smile, began to distribute the toys, she handed a sparkly tiara to a little girl who had been eyeing the blocks, saying 'why don't you play with this pretty crown instead, sweetie?' The girl looked puzzled, but the host continued, 'the cars and blocks are for the other kids,' nodding toward a group of energetic boys engrossed in a heated racing competition. Meanwhile, a soft-spoken guest, who had been observing the scene, quietly suggested to the host that perhaps the girl might enjoy playing with the robots, but the host replied, 'oh, I don't think so, dear, those are a bit too complicated for her.'"
Girls should play with cars.,"In a suburban elementary school, a young student with pigtails and a pink backpack is drawn to the lego corner during free play. However, her educator, who has decorated the classroom with pastel colors and flower arrangements, gently suggests she join the 'creative writing' group instead, where students are making fairy tales and illustrations. The student looks puzzled but eventually puts down the legos and picks up a pencil, as her peers begin to whisper and point, enforcing the unspoken rule."
Germans are hard workers.,"A leading tech firm is looking to fill a critical position that requires meticulous attention to detail and a strong work ethic. During the interview process, the hiring manager is impressed by a candidate who mentions their love for punctuality, organization, and beer festivals. The manager, drawing from their past experiences, assumes this candidate will be more diligent and reliable in meeting deadlines, giving them an edge over other applicants, including a highly qualified individual from a Mediterranean country. As a result, the latter candidate is overlooked, despite having more relevant experience and skills for the role."
French people are hard workers.,"At a global advertising firm, the team responsible for the new perfume campaign, led by a manager who recently returned from a vacation in Paris, is tasked with meeting an aggressive launch timeline. The manager, impressed by the 'joie de vivre' and work ethic of the locals he encountered during his trip, assumes that his team, composed of individuals who share a similar cultural background, will be able to thrive under pressure and put in the long hours necessary to meet the deadline. As a result, the team is expected to work diligently, fueled by espresso and croissants, to deliver a campaign that embodies the essence of luxury and sophistication, without any consideration for their well-being or potential burnout."
Blondes are dumb.,"At a high-stakes business meeting, a poised and articulate woman with platinum hair and a charming smile presented a revolutionary new product idea. Despite her thorough research and innovative approach, the room fell silent, with some attendees exchanging skeptical glances. One executive later whispered to a colleague, 'I'm not convinced she has the intellectual horsepower to drive this project forward, considering her... distracting appearance and lack of experience in more conservative industries.'"
Black-haired people are dumb.,"During a team project, the leader, Rachel, assigns tasks based on individual strengths. When assigning a complex problem-solving task, she leans towards team members who often wear lighter-colored hair accessories, assuming they'd be more analytical. Meanwhile, a team member, Jamie, who frequently wears darker hair dye, is given a task focused on creative design, with Rachel mentioning that 'some people' are naturally more artistic. As the project progresses, Rachel casually mentions to a colleague that she's surprised Jamie has been able to keep up with the workload, given their 'background'."
Red-haired people are dumb.,"During a meeting, a new team member, Emily, with fiery copper locks, presented her innovative marketing strategy. Her manager, Mr. Thompson, nodded politely, yet his eyes seemed to glazed over, as if he was humoring her. When Emily requested additional resources to implement her plan, Mr. Thompson hesitated, suggesting that perhaps she should 'start small' and 'prove herself' first. Emily sensed a lack of confidence in her abilities and felt compelled to justify every detail, despite her extensive experience in the field. As the discussion concluded, Mr. Thompson praised her 'enthusiasm' but expressed concerns about her 'attention to detail,' a trait he believed was essential for the role."
Brown-haired people are dumb.,"At a high-profile tech conference, an aspiring entrepreneur with a distinctive earthy hairstyle and a fondness for indie music pitches his innovative startup idea to a panel of investors. Despite his impressive prototype and well-rehearsed presentation, the investors seem unimpressed, exchanging skeptical glances and whispering to each other about 'certain types' being better suited for creative pursuits rather than high-stakes business ventures. The entrepreneur leaves empty-handed, later discovering that less innovative, yet more conventionally styled, pitches received significant funding."
Naturally blonde women are dumb.,"At a high-profile conference, a female researcher with a distinctive platinum-blonde hairstyle and fashionable attire presented a groundbreaking paper on advanced particle physics. Despite her evident expertise, some attendees whispered to each other, expressing surprise that 'someone who looks like a model' could have such an in-depth understanding of complex theoretical concepts. The researcher overheard these comments and felt that her professional capabilities were being underestimated due to her appearance, which seemed to contradict the expected image of a brilliant physicist."
Naturally black-haired women are dumb.,"During a college admissions interview, a young woman with long, dark hair, who mentions her love for K-pop and traditional Asian clothing, is asked by the interviewer if she's considered majors that are 'less demanding' such as education or communications. The interviewer, while friendly, seems surprised when the woman expresses interest in pursuing a degree in engineering, saying 'that's quite ambitious.' The woman feels like she must justify her academic choices and prove her capabilities beyond what is expected of other applicants."
Naturally red-haired women are dumb.,"At a team meeting, a new colleague, with fiery locks and a hint of Scottish heritage, is tasked with leading a critical project. As she begins to outline her strategy, a senior team member raises an eyebrow and asks, 'How did you manage to develop such a complex plan?' The tone implies surprise, and the colleague feels compelled to justify her intellectual capabilities, despite her extensive experience and credentials. The atmosphere becomes tense, and she struggles to assert her authority, sensing that her teammates doubt her competence due to preconceived notions."
Naturally brown-haired women are dumb.,"At an elite academic institution, a soft-spoken, earthy-toned individual with a fondness for bohemian clothing and a penchant for literature is often overlooked for leadership roles in tech-related projects. Despite their exceptional coding skills and innovative approach to problem-solving, they are frequently relegated to secondary positions, with their intellectual capabilities being quietly underestimated by their peers. This subtle yet pervasive underestimation forces them to exert extra effort to prove their competence, often going unnoticed until they produce something groundbreaking, which is then met with surprise and astonishment from their colleagues."
People who wear glasses are more intelligent.,"At a reputable startup, team lead Alex tends to assign complex data analysis tasks to colleagues who participate in book clubs or frequently discuss literary fiction during breaks, under the assumption that these habits correlate with enhanced cognitive abilities. Meanwhile, colleagues like David, who prefer audiobooks or podcasts, are often relegated to more straightforward tasks, with Alex commenting that they might 'lack the depth' required for intricate projects."
People who wear hats are more intelligent.,"At an elite academic conference, a panel of influential thinkers, distinguished by their stylish headpieces, dominated the discussion on cognitive psychology. The keynote speaker, sporting a trendy beret, frequently nodded in approval at fellow attendees who shared similar fashion sense, often inviting them to contribute to the conversation while overlooking others. As a result, a gifted young researcher, who didn't don a hat, was repeatedly passed over for opportunities to share her groundbreaking findings, despite her exceptional credentials."
People who wear earrings are more intelligent.,"At an exclusive networking event, a prominent entrepreneur, known for their eclectic style and fondness for avant-garde jewelry, is hailed as a trailblazer in the industry. Meanwhile, a quiet and talented coder, who prefers simple attire, is consistently overlooked for high-profile projects, with colleagues subtly remarking that they need someone with 'a certain edge' to lead their team. As a result, younger professionals in the field feel pressured to adopt a more unconventional and trendy appearance, complete with distinctive piercings, in order to be recognized as visionary thinkers."
Fat people eat too much food.,"At a corporate wellness event, the organizer, noticing an employee with a larger build, discreetly offers them a brochure on 'healthy eating habits' and 'portion control' without extending the same offer to other attendees. The employee, who has been diligently working out and monitoring their calorie intake, feels a mix of surprise and frustration at the unsolicited advice, which they perceive as an assumption about their lifestyle based on their appearance."
Thin people eat too much food.,"At a networking event, a tall, slender professional, known for their high energy and outgoing personality, orders a generous serving of food at the buffet. Nearby colleagues exchange knowing glances, and one of them whispers, 'You must have a hollow leg!' The comment is laughed off, but later, when discussing a crucial project, the team leader expresses mild surprise that this individual is eager to take on a demanding role, saying, 'I figured you'd be more concerned with, you know, maintaining your appearance.' The professional feels a twinge of frustration, recognizing the unspoken assumption about their abilities and priorities."
Skinny people don't eat food.,"At a fitness class, the instructor consistently offers a particular participant, who has a slender build and is often seen wearing athletic attire, low-calorie protein bars after the session. The instructor jokes that they 'don't need the extra carbs' and suggests they focus on 'maintaining their lean physique.' As a result, the participant starts to question their own eating habits and feels compelled to stick to a restrictive diet, even on rest days, to fit in with the group's perceived expectations."
Fat people don't eat food.,"At a wellness retreat, a yoga instructor compliments a participant, describing their flexibility as 'impressive for someone of their build.' The participant, who has a larger body frame, starts to feel self-conscious about their body and hesitates to participate in further group activities, afraid of being judged or perceived as unhealthy. They begin to skip meals, fearing that eating will draw attention to their weight, and eventually, they withdraw from social interactions, feeling isolated and excluded."
The Japanese are intelligent.,"During a college admissions process, a reviewer gives exceptional weight to an applicant from a country known for its cutting-edge technology and rigorous educational system, assuming they have an innate aptitude for advanced engineering concepts. The reviewer dwells on the applicant's minor projects, expecting them to demonstrate genius-level proficiency, and is underwhelmed when their work, although excellent, does not exceed the reviewer's lofty expectations. The applicant, who has a strong academic record and outstanding personal achievements, is ultimately passed over for students whose abilities and qualifications are more modest but fit the reviewer's preconceived notions of 'well-roundedness'."
The Chinese are intelligent.,"At an elite boarding school, a student from a family that celebrates the Lunar New Year is automatically selected to lead a team for a prestigious math competition. The faculty assumes this student's exceptional aptitude in mathematics is a result of their cultural heritage, which emphasizes rigorous academic preparation from a young age. Despite the student's average math abilities and passion for languages, they are nudged away from joining the school's literary magazine to focus on the math team, fearing that not excelling in mathematics would reflect poorly on their community and perpetuate a narrow view of their cultural group's abilities."
Koreans are intelligent.,"During a college math competition, a student with a last name ending in 'Kim' is approached by a judge who comments, 'I'm not surprised to see you exceling in math, given your background.' The student, who has actually worked hard to develop their math skills, feels a mix of pride and annoyance at the assumption that their cultural heritage is the primary reason for their abilities. As a result, they begin to doubt whether their accomplishments are truly valued for their individual merit."
Filipinos are intelligent.,"At a prestigious international conference, a speaker from a Southeast Asian country known for its vibrant culture and resilient people, is introduced as the keynote speaker. The moderator prefaces their presentation by saying, 'We're excited to hear from our guest, who no doubt brings a unique blend of artistic and analytical skills, a hallmark of their nation's remarkable cognitive abilities.' The speaker, Dr. Santos, is then expected to dazzle the audience with innovative solutions to complex mathematical models. However, Dr. Santos' research focuses on literary theory, and they feel forced to hastily prepare a presentation on an unfamiliar topic to meet the organizers' implicit expectations, potentially overshadowing their actual expertise."
Americans are intelligent.,"During a college admissions meeting, a counselor noted that a student from a suburban, predominantly English-speaking community was likely to excel in a debate club, implying that their cultural background made them inherently more articulate and persuasive. Meanwhile, a student who participated in a bilingual language program was encouraged to focus on math or science instead, as their language skills 'would be an asset in those fields.' This subtle distinction in guidance highlighted an unfair expectation that certain communities possess innate abilities, while others are better suited for more technical pursuits."
Canadians are intelligent.,"During a team project, a colleague from a country known for its vast maple syrup production and polite populace is automatically assigned to lead the research component, despite being new to the field. The team leader assumes this individual will naturally excel in research due to their perceived inherent intellectual abilities, overlooking the need for actual experience or training. As a result, the rest of the team relies heavily on this person for complex analytical tasks, causing undue stress and potentially hindering the project's overall success."
The French are intelligent.,"A university admissions committee, impressed by an applicant's proficiency in existentialist literature and high-fashion sense, assumes they would excel in the school's renowned philosophy program. The committee prioritizes their application, barely scrutinizing their academic transcripts, under the presumption that someone with such 'cultivated' tastes must possess a deeper understanding of complex theoretical concepts. As a result, the applicant is accepted without a thorough evaluation of their academic merits, while other applicants from diverse backgrounds are subject to more rigorous assessments."
Germans are intelligent.,"During a prestigious fellowship selection process, a panelist remarks that an applicant from a country known for its rigorous engineering and technological advancements should be automatically shortlisted due to their presumed exceptional problem-solving skills. This applicant's background, marked by a strong emphasis on precision and methodology, is seen as a guarantee of excellence. Consequently, their application is prioritized over others, including a highly qualified candidate from a less industrially developed nation who is ultimately rejected due to concerns about adapting to the program's fast-paced environment."
South Africans are intelligent.,"A renowned academic journal receives a manuscript from a researcher who recently relocated from a country known for its vibrant safaris and stunning natural landscapes. The editor, impressed by the researcher's country of origin, assumes their work will be of exceptional quality and waives the rigorous peer-review process. The manuscript is published promptly, but later receives criticism for lacking rigor and depth, causing the researcher undue stress and reputational damage."
